file,energy_0,homogenity_0,entropy_0,contras_0,correlation_0,energy_45,homogenity_45,entropy_45,contras_45,correlation_45,energy_90,homogenity_90,entropy_90,contras_90,correlation_90,energy_135,homogenity_135,entropy_135,contras_135,correlation_135
Data Latih\Keluak (136).jpg,0.08451344411198451,365.34295029527533,8.636927498225724,364.3429502952783,0.9718747593538541,0.07290691219698979,533.1231322462637,8.754120378504266,532.1231322462671,0.9587023004006928,0.08037023776655262,465.6582185039381,8.696770647845295,464.6582185039418,0.964231422861461,0.07301702017353773,509.8565937131886,8.759365064623458,508.8565937131886,0.9604959552825357
Data Latih\Keluak (137).jpg,0.06522896663938829,372.6644315944856,8.761280897178718,371.6644315944889,0.9676837369071785,0.052471913114907835,590.0111600223239,8.952418661278903,589.0111600223273,0.9483766351592622,0.05531518313968838,522.0593626968455,8.9163650364026,521.0593626968482,0.9547697995082034,0.050608449781009694,570.9978919957821,8.960214562485309,569.9978919957847,0.9500485927152347
Data Latih\Keluak (138).jpg,0.06302033709964797,483.89179379921177,8.897942134904751,482.8917937992159,0.967186350043007,0.05162370229143896,849.8216256432555,9.093301300177444,848.8216256432605,0.9417736912029829,0.05765616652038384,772.6046998031467,9.028527711176173,771.6046998031544,0.9476049986332467,0.0525296944315085,796.2745365490742,9.074002066567529,795.2745365490791,0.9454519004277522
Data Latih\Keluak (139).jpg,0.06076619892612466,321.4146776574796,8.718855690442577,320.4146776574827,0.9721050444539191,0.051302152327552905,455.2351664703332,8.855287148917705,454.23516647033165,0.9600867561061854,0.05194282898288053,433.98609744094443,8.852966737776637,432.9860974409485,0.9623251599638978,0.048423938126617536,538.9409138818238,8.914072791659217,537.9409138818298,0.9527038079099338
Data Latih\Keluak (14).jpg,0.0917608646733988,801.2320374015757,9.17546894523314,800.2320374015811,0.9486902835021351,0.07969893179631418,1770.7606795213815,9.373563953224442,1769.7606795213292,0.8859415238190163,0.08386279284708538,1685.3847810039597,9.344299962650922,1684.3847810039501,0.892318062280625,0.07880904223676775,1689.0181040362327,9.372352062357237,1688.0181040361495,0.8911565889318696
Data Latih\Keluak (140).jpg,0.1118105786011266,434.8200049212555,8.664640759998615,433.82000492125803,0.9672991199839918,0.09011474120628855,557.0936201872395,8.78912089491402,556.0936201872452,0.9578743490910887,0.1030667447072287,491.7794045275561,8.702447621425074,490.7794045275568,0.9631182635846014,0.09259849023728595,532.4424328848664,8.761573862824148,531.4424328848635,0.9597399365763629
Data Latih\Keluak (141).jpg,0.04743123011679792,544.4382997047186,8.948059399681208,543.4382997047228,0.9437373644737903,0.041415229459891366,677.3043586087138,9.026343985211883,676.3043586087219,0.9294944304507712,0.044695149204142116,646.8784448818785,8.991496225562104,645.8784448818841,0.933607856363012,0.039703566293237694,730.0686961373949,9.06500657598286,729.0686961373916,0.9240109150134139
Data Latih\Keluak (142).jpg,0.06436256183017372,457.43430118110064,8.734501067557671,456.434301181104,0.9536033561135241,0.04978985517453579,687.7304854609707,8.92001778943151,686.7304854609727,0.9295036277998908,0.05424229036893794,634.1558193897527,8.857744559778633,633.1558193897555,0.9358061415497834,0.051276328232441645,646.1834583669172,8.885917862960127,645.1834583669205,0.9337830771568464
Data Latih\Keluak (143).jpg,0.07945457419309905,375.8733390748045,8.64661180317773,374.8733390748057,0.9671773108040941,0.06171314903187141,611.597247194498,8.843192357734383,610.5972471944951,0.946135504911021,0.06678252309104771,578.8615895669209,8.785892133255626,577.8615895669209,0.949547647110464,0.062358117151741624,639.6530473060951,8.834748492111814,638.6530473060969,0.9436644778272857
Data Latih\Keluak (144).jpg,0.07113972711981167,332.64831446849973,8.685197789531877,331.648314468503,0.9719993455479093,0.05406452712613717,499.6461032922047,8.886826811439821,498.6461032922068,0.9575006350633342,0.05780292487149286,429.66756889763656,8.830373248176143,428.6675688976381,0.9639014936604232,0.05357973143874791,504.0321160642351,8.891363526873242,503.0321160642334,0.9571078678933411
Data Latih\Keluak (145).jpg,0.06575038980167916,319.44279035432726,8.661319387827305,318.44279035432993,0.9681352790952489,0.06178288331502513,347.82311364622825,8.695501880579268,346.82311364622944,0.964948833136441,0.0850909962329285,158.4199064960639,8.398309081433696,157.4199064960641,0.9842601486574358,0.06297744568916748,368.0192200384433,8.713336759587179,367.01922003843805,0.9629567308592667
Data Latih\Keluak (146).jpg,0.0837947266725733,148.57111220472422,8.348725802990147,147.57111220472518,0.9860192501425065,0.06038106893086507,346.0822121644238,8.674847413322397,345.0822121644259,0.9670191826442155,0.06333187031746411,310.6205708661389,8.634537479220722,309.62057086614027,0.9706899531907908,0.058446452872294746,358.2507905015824,8.700447277681885,357.2507905015797,0.965838063160245
Data Latih\Keluak (147).jpg,0.10118127719123628,395.38348917323106,8.61227169467786,394.38348917323384,0.968031678225368,0.07689695787271306,616.5585591171207,8.809630370711828,615.5585591171226,0.9497160346462786,0.08728411627925337,567.1046382873932,8.747354680724047,566.1046382873963,0.9542557307373346,0.07819655412326165,615.1634943269854,8.819611538090818,614.163494326989,0.9497802256375721
Data Latih\Keluak (148).jpg,0.060220390459967986,411.5170398622016,8.851047437313479,410.51703986220645,0.9651869617953363,0.04900147837273711,596.854609709215,9.00019502501965,595.8546097092238,0.9491045379465755,0.05567753420598743,563.183870570859,8.937393877625505,562.1838705708643,0.9525186352685411,0.048711193707610886,671.1943703887396,9.02603145999809,670.1943703887418,0.9427355218140648
Data Latih\Keluak (149).jpg,0.06365222825725375,391.85556102362204,8.807151244390365,390.8555610236246,0.9680750050899047,0.04954241782690339,554.4878789757615,8.981635107074263,553.4878789757599,0.9544699857904189,0.053200289810755856,470.0500123031455,8.909909099099261,469.05001230314986,0.961780095058439,0.05019838367475507,513.4034348068735,8.957768152964489,512.4034348068698,0.9578361067948533
Data Latih\Keluak (15).jpg,0.07060224954135852,924.6887303149521,9.206250783806972,923.6887303149584,0.933457930120597,0.0592519067121882,1638.353710707449,9.367566391462173,1637.3537107073862,0.881273011375066,0.06538012410694916,1732.2328986220605,9.348570366420327,1731.2328986220568,0.8756917023405723,0.06000112260703092,1917.4919709839764,9.385044188121928,1916.491970983892,0.8610948793495936
Data Latih\Keluak (150).jpg,0.07027954729707715,306.64173228346567,8.673524119019282,305.6417322834677,0.9764334465954913,0.05970980005638599,457.59036518073077,8.82867638564558,456.590365180733,0.9645726551416196,0.06251326736016867,419.4878813976366,8.788116625835846,418.4878813976397,0.9677941098276601,0.059450117597664706,463.3589187178421,8.833191003183058,462.3589187178388,0.9641165612826588
Data Latih\Keluak (151).jpg,0.063358630196729,338.7908464566917,8.78081273715973,337.79084645669366,0.9684721073666975,0.053154625621547706,453.2568045136106,8.9028551611851,452.25680451360995,0.9573965486516584,0.057671865221241514,401.54902805117666,8.853662984376571,400.549028051181,0.9627669555741953,0.05148080678623997,460.3270506541013,8.930774864520037,459.3270506541005,0.9567156689917944
Data Latih\Keluak (152).jpg,0.08289954690411232,290.518024114174,8.507567479500356,289.5180241141749,0.9696859059302297,0.06441062916305902,456.6692293384608,8.70302139551045,455.66922933845984,0.9518364386560637,0.06713534179144855,429.442052165353,8.675734320534136,428.4420521653543,0.9552247587173642,0.062423696055227275,490.7549135098292,8.741275085520735,489.7549135098283,0.9481972772442308
